date,horse,last_rank,actual_rank,hit,odds,payout,profit,cumulative
20251013,ラミアメロディア,9,1,True,1.6,160,60,60
20251013,アンジュルナ,11,1,True,1.1,110,10,70
20251014,バスターショット,11,7,False,8.700000000000001,0,-100,-30
20251014,ウールドランジュ,10,2,True,1.6,160,60,30
20251014,ニシノヤングマン,9,1,True,1.5,150,50,80
20251015,ハネダブライアン,11,1,True,2.3,229,129,209
20251016,カズヤ,9,4,False,1.2,0,-100,109
20251016,クロームウルフ,11,2,True,1.5,150,50,159
20251017,ジーカンピオーネ,5,3,True,1.4333333333333331,143,43,202
20251017,グリンネル,10,5,False,9.766666666666667,0,-100,102
20251017,ザイオンパーク,6,1,True,1.3,130,30,132
20251117,グリンネル,10,3,True,4.9,490,390,522
20251117,マダムウィンディ,6,1,True,1.5,150,50,572
20251117,ミセスリリー,8,1,True,1.2,120,20,592
20251118,オンネア,10,12,False,35.13333333333333,0,-100,492
20251118,バルカニクス,11,6,False,8.366666666666667,0,-100,392
20251119,ジーカンピオーネ,5,4,False,3.3666666666666667,0,-100,292
20251119,ヴィヴィッドムーン,9,1,True,1.1,110,10,302
20251119,プレストライズ,11,3,True,3.2,320,220,522
20251119,カセノラオー,11,3,True,1.7,170,70,592
20251120,ジーベローチェ,9,1,True,1.0,100,0,592
20251120,バスターショット,11,9,False,28.73333333333333,0,-100,492
20251121,バスクレヒオン,9,1,True,7.3,730,630,1122
20251121,ビービーエリス,9,1,True,1.1,110,10,1132
20251215,レモンスフレ,5,10,False,13.566666666666668,0,-100,1032
20251216,シェナグローリー,7,9,False,177.79999999999998,0,-100,932
20251216,ノーブルプラチナ,10,7,False,27.4,0,-100,832
20251217,ハシリマッセ,10,10,False,88.63333333333333,0,-100,732
20251218,ロードアスタリスク,12,12,False,13.066666666666668,0,-100,632
