bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio,score
231,92,0.39826839826839827,0.8095238095238095,-4400.0,kawasaki,basic,0.0,0.5,4.409263586587013
185,76,0.41081081081081083,0.8726126126126127,-2356.666666666666,kawasaki,basic,0.0,0.6,4.5600524578005475
139,59,0.4244604316546763,0.9446043165467626,-770.0,kawasaki,basic,0.0,0.7,4.66789676322735
146,67,0.4589041095890411,0.7942922374429223,-3003.333333333334,kawasaki,basic,0.03,0.5,3.963861865160553
119,52,0.4369747899159664,0.8750700280112045,-1486.666666666666,kawasaki,basic,0.03,0.6,4.189390533459695
87,38,0.4367816091954023,0.828735632183908,-1490.0,kawasaki,basic,0.03,0.7,3.7105285554468814
129,62,0.4806201550387597,0.8470284237726098,-1973.333333333334,kawasaki,basic,0.05,0.5,4.122940033228268
99,44,0.4444444444444444,0.9164983164983166,-826.6666666666661,kawasaki,basic,0.05,0.6,4.220630722646326
71,32,0.4507042253521127,0.8981220657276995,-723.3333333333339,kawasaki,basic,0.05,0.7,3.8409682092383632
100,49,0.49,0.8726666666666666,-1273.333333333334,kawasaki,basic,0.07,0.5,4.027461837696806
83,41,0.4939759036144578,1.0244979919678716,203.33333333333394,kawasaki,basic,0.07,0.6,4.5393629131924875
63,29,0.4603174603174603,0.9375661375661375,-393.33333333333394,kawasaki,basic,0.07,0.7,3.899227949054676
68,37,0.5441176470588235,0.8857843137254902,-776.666666666667,kawasaki,basic,0.1,0.5,3.7505051244153176
63,32,0.5079365079365079,0.8862433862433862,-716.666666666667,kawasaki,basic,0.1,0.6,3.68578262678701
42,20,0.47619047619047616,1.0388888888888888,163.33333333333303,kawasaki,basic,0.1,0.7,3.9074690090816446
54,28,0.5185185185185185,0.8580246913580246,-766.666666666667,kawasaki,basic,0.12,0.5,3.4383908194278607
48,22,0.4583333333333333,0.8208333333333333,-860.0,kawasaki,basic,0.12,0.6,3.1945358280324725
23,12,0.5217391304347826,0.7043478260869566,-680.0,kawasaki,basic,0.12,0.7,2.238455306592901
34,17,0.5,0.8794117647058823,-410.0,kawasaki,basic,0.15,0.5,3.126614912898043
32,15,0.46875,0.66875,-1060.0,kawasaki,basic,0.15,0.6,2.3382894317307086
