bets,hits,hit_rate,roi,profit,track,feature_set,threshold
682,271,0.3973607038123167,0.5802541544477028,-28626.66666666667,kawasaki,V1_基本,0.0
430,172,0.4,0.5141860465116279,-20890.0,kawasaki,V1_基本,0.03
359,148,0.41225626740947074,0.5272980501392758,-16970.0,kawasaki,V1_基本,0.05
302,119,0.39403973509933776,0.5245033112582781,-14360.000000000002,kawasaki,V1_基本,0.07
230,92,0.4,0.5168115942028986,-11113.333333333334,kawasaki,V1_基本,0.1
190,77,0.4052631578947368,0.5584210526315789,-8390.0,kawasaki,V1_基本,0.12
131,50,0.3816793893129771,0.4396946564885496,-7340.0,kawasaki,V1_基本,0.15
682,255,0.37390029325513197,0.5732649071358749,-29103.333333333336,kawasaki,V2_相対ランク,0.0
409,160,0.39119804400978,0.5222493887530563,-19540.0,kawasaki,V2_相対ランク,0.03
325,128,0.39384615384615385,0.552,-14560.0,kawasaki,V2_相対ランク,0.05
250,97,0.388,0.5266666666666666,-11833.333333333334,kawasaki,V2_相対ランク,0.07
183,78,0.4262295081967213,0.6216757741347905,-6923.333333333334,kawasaki,V2_相対ランク,0.1
151,66,0.4370860927152318,0.601766004415011,-6013.333333333334,kawasaki,V2_相対ランク,0.12
111,48,0.43243243243243246,0.6702702702702703,-3660.0,kawasaki,V2_相対ランク,0.15
682,268,0.39296187683284456,0.6227761485826002,-25726.666666666664,kawasaki,V3_相対値,0.0
367,156,0.4250681198910082,0.6199818346957311,-13946.666666666668,kawasaki,V3_相対値,0.03
303,132,0.43564356435643564,0.6231023102310231,-11420.0,kawasaki,V3_相対値,0.05
231,104,0.45021645021645024,0.6685425685425685,-7656.666666666666,kawasaki,V3_相対値,0.07
149,68,0.4563758389261745,0.5559284116331097,-6616.666666666666,kawasaki,V3_相対値,0.1
106,51,0.4811320754716981,0.5786163522012578,-4466.666666666667,kawasaki,V3_相対値,0.12
80,41,0.5125,0.6525,-2780.0,kawasaki,V3_相対値,0.15
682,262,0.3841642228739003,0.5841642228739002,-28360.0,kawasaki,V4_全部入り,0.0
375,154,0.4106666666666667,0.5782222222222223,-15816.666666666664,kawasaki,V4_全部入り,0.03
298,129,0.43288590604026844,0.5651006711409396,-12960.0,kawasaki,V4_全部入り,0.05
242,107,0.44214876033057854,0.5615702479338843,-10610.0,kawasaki,V4_全部入り,0.07
