bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio
231,92,0.39826839826839827,0.8095238095238095,-4400.0,kawasaki,basic,0.0,0.5
185,76,0.41081081081081083,0.8726126126126126,-2356.666666666668,kawasaki,basic,0.0,0.6
139,59,0.4244604316546763,0.9446043165467626,-770.0,kawasaki,basic,0.0,0.7
157,70,0.445859872611465,0.8087048832271762,-3003.333333333334,kawasaki,basic,0.02,0.5
134,60,0.44776119402985076,0.894278606965174,-1416.6666666666679,kawasaki,basic,0.02,0.6
97,44,0.4536082474226804,0.8536082474226804,-1420.0,kawasaki,basic,0.02,0.7
146,67,0.4589041095890411,0.7942922374429224,-3003.333333333332,kawasaki,basic,0.03,0.5
119,52,0.4369747899159664,0.8750700280112045,-1486.666666666666,kawasaki,basic,0.03,0.6
87,38,0.4367816091954023,0.8287356321839079,-1490.000000000001,kawasaki,basic,0.03,0.7
129,62,0.4806201550387597,0.8470284237726099,-1973.3333333333321,kawasaki,basic,0.05,0.5
99,44,0.4444444444444444,0.9164983164983164,-826.6666666666679,kawasaki,basic,0.05,0.6
71,32,0.4507042253521127,0.8981220657276995,-723.3333333333339,kawasaki,basic,0.05,0.7
100,49,0.49,0.8726666666666666,-1273.333333333334,kawasaki,basic,0.07,0.5
83,41,0.4939759036144578,1.0244979919678714,203.33333333333212,kawasaki,basic,0.07,0.6
63,29,0.4603174603174603,0.9375661375661375,-393.33333333333394,kawasaki,basic,0.07,0.7
68,37,0.5441176470588235,0.8857843137254903,-776.6666666666661,kawasaki,basic,0.1,0.5
63,32,0.5079365079365079,0.8862433862433862,-716.666666666667,kawasaki,basic,0.1,0.6
42,20,0.47619047619047616,1.0388888888888888,163.33333333333303,kawasaki,basic,0.1,0.7
34,17,0.5,0.8794117647058823,-410.0,kawasaki,basic,0.15,0.5
32,15,0.46875,0.66875,-1060.0,kawasaki,basic,0.15,0.6
19,10,0.5263157894736842,0.6947368421052632,-580.0,kawasaki,basic,0.15,0.7
17,8,0.47058823529411764,0.9882352941176471,-20.0,kawasaki,basic,0.2,0.5
17,9,0.5294117647058824,0.7470588235294118,-430.0,kawasaki,basic,0.2,0.6
6,3,0.5,0.65,-210.0,kawasaki,basic,0.2,0.7
231,91,0.3939393939393939,0.8230880230880232,-4086.6666666666642,kawasaki,rank,0.0,0.5
185,75,0.40540540540540543,0.9491891891891892,-940.0,kawasaki,rank,0.0,0.6
139,56,0.4028776978417266,0.9841726618705036,-220.0,kawasaki,rank,0.0,0.7
153,64,0.41830065359477125,0.8296296296296296,-2606.666666666668,kawasaki,rank,0.02,0.5
133,56,0.42105263157894735,0.9586466165413534,-550.0,kawasaki,rank,0.02,0.6
