race_id,track,kai,day,race_num,horse_num,horse_name,pre_odds,payout_odds,rank,hit
202645010101,川崎,1,1,1,4,マロンデプティ,4.5,,3,O
202645010102,川崎,1,1,2,2,ボイド,3.0,,2,O
202645010106,川崎,1,1,6,6,パリカー,3.5,,5,X
202645010106,川崎,1,1,6,4,レターフロムパリ,3.5,,10,X
202645010106,川崎,1,1,6,8,クリノノヴァエ,3.2,,11,X
202645010109,川崎,1,1,9,3,バッファローライズ,3.4,,2,O
202645010109,川崎,1,1,9,4,マカゼ,4.3,,6,X
202645010111,川崎,1,1,11,2,カズヤ,4.4,,3,O
202645010111,川崎,1,1,11,7,ヒマワリシャワー,3.2,,7,X
202645010112,川崎,1,1,12,3,パーティーガール,4.4,1.6,1,O
202545090801,川崎,9,8,1,2,ミスターベラミー,4.0,,9,X
202545090802,川崎,9,8,2,4,イサチルカムカム,4.3,,3,O
202545090803,川崎,9,8,3,1,ヒデガミクィーン,3.5,1.0,3,O
202545090804,川崎,9,8,4,6,ハナサキポプラ,4.4,,3,O
202545090806,川崎,9,8,6,1,キミハレモネード,3.4,,6,X
202545090808,川崎,9,8,8,3,ピッツァナポリ,4.9,,3,O
202545090809,川崎,9,8,9,8,スマートアライヴ,4.8,,11,X
202545090810,川崎,9,8,10,4,ベリーク,3.0,1.4,1,O
202545090812,川崎,9,8,12,2,エコロジョイアー,4.1,,3,O
202545080401,川崎,8,4,1,6,ワイドレギオー,3.9,,7,X
202545080402,川崎,8,4,2,6,アムリタ,3.1,,5,X
202545080403,川崎,8,4,3,7,スカイライズ,4.0,,5,X
202545080403,川崎,8,4,3,6,エスプリアキラサン,3.8,,6,X
202545080405,川崎,8,4,5,5,ゴールドフレイバー,4.9,,4,X
202545080406,川崎,8,4,6,2,コミックガール,4.2,,4,X
202545080408,川崎,8,4,8,8,ミシェルエルクール,3.5,,12,X
202545080409,川崎,8,4,9,3,テルケンレンタワー,4.3,,2,O
202545080412,川崎,8,4,12,3,モネ,4.2,1.7,1,O
202545080501,川崎,8,5,1,6,アフロック,3.3,1.2,1,O
202545080502,川崎,8,5,2,1,トリル,3.5,1.3,1,O
202545080503,川崎,8,5,3,8,キタカラキタダイヤ,3.5,,5,X
202545080504,川崎,8,5,4,1,サンエイタロー,3.0,,2,O
202545080505,川崎,8,5,5,2,リコースチェッキン,3.4,,10,X
202545080506,川崎,8,5,6,3,キミニメロメロ,4.5,,6,X
202545080507,川崎,8,5,7,5,ウインプリームス,4.7,,2,O
202545080507,川崎,8,5,7,1,ベリーク,4.3,,4,X
202545080509,川崎,8,5,9,8,ペータース,3.5,,2,O
202545080509,川崎,8,5,9,1,グラスフラッグ,4.0,,5,X
202545080512,川崎,8,5,12,4,アイビーヒメチャン,3.4,,3,O
202545080512,川崎,8,5,12,8,タケノロイヤル,3.1,,7,X
202545080601,川崎,8,6,1,2,ワイアット,3.1,,5,X
202545080602,川崎,8,6,2,8,アイノプライム,4.1,,4,X
202545080604,川崎,8,6,4,5,サンエイゴロー,4.1,,5,X
202545080605,川崎,8,6,5,6,ファイヤーボール,4.2,2.2,1,O
202545080608,川崎,8,6,8,3,ビップソリオ,3.2,1.5,1,O
202545080608,川崎,8,6,8,7,ラムテリオス,4.7,,4,X
202545080608,川崎,8,6,8,5,ミステリオ,3.0,,5,X
202545080609,川崎,8,6,9,5,アンジュミストラル,4.3,,7,X
202545080610,川崎,8,6,10,2,カセノラオー,3.3,,11,X
202545080611,川崎,8,6,11,4,スピンディエゴール,3.1,,3,O
202545080611,川崎,8,6,11,7,アドルナティック,3.8,,6,X
202545080612,川崎,8,6,12,8,オソレ,4.5,1.2,1,O
202545080612,川崎,8,6,12,6,ランラン,3.6,,8,X
202545080704,川崎,8,7,4,3,プリンセスサミット,4.6,,3,O
202545080704,川崎,8,7,4,5,ヤマトスコッチ,4.4,,8,X
202545080705,川崎,8,7,5,1,ラスールフルール,4.5,,4,X
202545080706,川崎,8,7,6,1,ランニングホット,3.5,,4,X
202545080707,川崎,8,7,7,2,メイショウカンムリ,4.5,,9,X
202545080708,川崎,8,7,8,3,マジカルレイズ,3.2,1.2,1,O
202545080708,川崎,8,7,8,4,クレーネ,4.0,,2,O
202545080709,川崎,8,7,9,3,ジャックパール,3.6,,2,O
202545080709,川崎,8,7,9,6,ブラックロータス,4.3,,6,X
202545080710,川崎,8,7,10,5,アナンシエーション,4.4,,6,X
202545080711,川崎,8,7,11,1,サラサチャレンジ,4.3,1.2,3,O
202545080801,川崎,8,8,1,1,バックトラック,3.7,,2,O
202545080802,川崎,8,8,2,7,ケリーアローズ,3.8,,5,X
202545080802,川崎,8,8,2,5,カルカンサン,4.3,,7,X
202545080804,川崎,8,8,4,3,ミオサンダー,3.0,,2,O
202545080804,川崎,8,8,4,4,カガヤクネガイ,4.0,,3,O
202545080805,川崎,8,8,5,7,ガルドコー,3.8,,3,O
202545080806,川崎,8,8,6,5,シェナイーグル,4.1,1.4,1,O
202545080806,川崎,8,8,6,3,スフォルツオ,4.7,,3,O
202545080807,川崎,8,8,7,7,オリエンタルボーイ,3.7,,5,X
202545080812,川崎,8,8,12,2,ブライティアブエナ,4.5,,2,O
202545070704,川崎,7,7,4,4,キイチマイルス,3.1,1.4,1,O
202545070704,川崎,7,7,4,6,ブルムーンストーン,3.2,,2,O
202545070704,川崎,7,7,4,2,フークグロワール,4.4,,3,O
202545070704,川崎,7,7,4,1,ブルーオーシャン,3.4,,4,X
202545070705,川崎,7,7,5,1,アブソリュート,4.2,1.2,1,O
202545070706,川崎,7,7,6,8,シルバーサドル,3.4,,7,X
202545070707,川崎,7,7,7,6,インベンション,4.3,,4,X
202545070708,川崎,7,7,8,1,シントーハナノラン,3.6,1.0,2,O
202545070709,川崎,7,7,9,8,ランウェイクイーン,4.5,,7,X
202545070710,川崎,7,7,10,4,フォースゲイト,4.7,,2,O
202545070710,川崎,7,7,10,6,オリコウデレガンス,4.1,,7,X
202545070711,川崎,7,7,11,8,コパノマイアミ,5.0,8.4,1,O
202545070801,川崎,7,8,1,7,スカイロック,3.7,,5,X
202545070804,川崎,7,8,4,4,ゴーゴーダンサー,4.5,,2,O
202545070804,川崎,7,8,4,2,ノボインパクト,4.7,,5,X
202545070806,川崎,7,8,6,8,エイカイゴールド,4.3,,6,X
202545070807,川崎,7,8,7,5,シエルラビクトア,3.2,,4,X
202545070808,川崎,7,8,8,4,キャプテンブルー,3.4,,2,O
202545070810,川崎,7,8,10,4,ファイヤーウィップ,3.4,,2,O
202545070812,川崎,7,8,12,7,キタノファルコン,3.9,,7,X
202545040702,川崎,4,7,2,3,ブルードラゴン,3.0,,3,O
202545040702,川崎,4,7,2,7,ミノリチャン,4.6,,4,X
202545040703,川崎,4,7,3,7,トゥルーリアイ,3.9,,3,O
202545040704,川崎,4,7,4,6,ファイトクラブ,3.2,2.6,1,O
202545040704,川崎,4,7,4,7,ターニップバイパー,3.5,,2,O
202545040706,川崎,4,7,6,7,サンボールダー,4.6,,2,O
202545040708,川崎,4,7,8,2,サンエイゴロー,3.7,,5,X
202545040708,川崎,4,7,8,7,ルチェッタ,3.4,,6,X
202545040709,川崎,4,7,9,1,トウマ,3.0,,4,X
202545040711,川崎,4,7,11,8,ローリエフレイバー,4.4,2.5,1,O
202545040711,川崎,4,7,11,3,ザオ,4.9,,10,X
202545040805,川崎,4,8,5,6,ライヴマスタード,4.7,1.2,1,O
202545040806,川崎,4,8,6,2,カセノラオー,3.6,1.8,1,O
202545040807,川崎,4,8,7,4,レインボーラッキー,3.0,1.5,1,O
202545040810,川崎,4,8,10,6,アジアミッション,5.0,,3,O
202545040811,川崎,4,8,11,7,ケンシレインボー,4.6,,4,X
202545040811,川崎,4,8,11,3,プレミアムハンド,3.6,,5,X
202545040812,川崎,4,8,12,3,セイウンダキシメテ,3.0,,3,O
202545030303,川崎,3,3,3,4,ポケットフルコイン,4.4,,2,O
202545030305,川崎,3,3,5,6,レモングラス,3.2,,3,O
202545030307,川崎,3,3,7,8,ミスサン,3.2,1.1,1,O
202545030308,川崎,3,3,8,1,マイアミ,4.3,1.3,1,O
202545030309,川崎,3,3,9,7,ココナツキュート,3.8,,8,X
202545030310,川崎,3,3,10,5,シャンボール,3.6,,4,X
202545030310,川崎,3,3,10,1,ケンタッキースカイ,4.7,,5,X
202545030312,川崎,3,3,12,3,パイロデキセキ,4.0,,3,O
202545030401,川崎,3,4,1,5,ディセプティコン,4.1,,2,O
202545030402,川崎,3,4,2,3,コスモヴェレッド,5.0,1.4,1,O
202545030402,川崎,3,4,2,2,アーチフライト,4.6,,3,O
202545030403,川崎,3,4,3,4,ミストラ,3.8,1.3,1,O
202545030403,川崎,3,4,3,8,オビワンリュウセイ,3.5,,3,O
202545030403,川崎,3,4,3,5,クラム,3.4,,4,X
202545030403,川崎,3,4,3,7,ゴールドフレイバー,3.8,,5,X
202545030404,川崎,3,4,4,1,ラヴォミ,3.6,,2,O
202545030405,川崎,3,4,5,8,カライカマウリオラ,4.4,,6,X
202545030408,川崎,3,4,8,2,ナチュラルターン,3.6,,4,X
202545030409,川崎,3,4,9,5,ロックシティボーイ,3.2,,3,O
202545030411,川崎,3,4,11,3,パレスレガシー,3.8,1.6,1,O
